d (Mpc),y (Mpc)
-356.51273617391536,-74.61975118145448
-354.63934505367746,-76.83944856868422
-353.69548358290706,-77.27587197904153
-357.9282537057516,-73.05334063448478
-326.8461449372344,-67.37297857317225
-349.9967674960076,-73.8420845859797
-326.28830261585574,-65.02266409693243
-322.16328191124046,-67.40797413121558
-324.5550090424161,-67.4151280446322
-193.43658929744083,-39.335135965378164
-332.36963063679724,-68.80761614705666
-327.91885972161236,-66.50601395059522
-331.01040678147393,-66.52382418905661
-231.54203800017075,-46.025357430602305
-329.5413350484631,-63.97124906551076
-191.08746890381994,-36.455225002586594
-328.4815221544157,-63.46959735586476
-334.72192207496806,-62.25917620052421
-336.39405192259557,-58.26014211381252
-331.29774782993115,-57.422479931072395
-328.3262898055762,-61.23290641972078
-328.0937779930681,-61.12372678359755
-188.19214034476823,-35.86969314511563
-325.59260833399503,-61.3819070900806
-337.29948036972763,-65.98251888766544
-189.39754409866433,-36.87434507460659
-341.0329504041637,-65.87170204542562
-192.03216953690813,-38.422471686598804
-192.52312798030627,-39.05751299273511
-334.81308889064104,-66.72151600893469
-324.43990157118094,-65.18660109822056
-192.79743102570083,-39.87637510400145
-332.712587063372,-68.26334963456662
-351.75959157133724,-72.58877894445993
-350.87608538746645,-72.35954348744299
-352.5998008400678,-74.11453393042174
-340.9333594710398,-72.73328659615262
-348.3584947898587,-73.3457220221415
-333.1880195627375,-70.48095664791893
-330.2776360013974,-71.9373982596644
-346.6294368155156,-75.4769010813249
-342.2754993196574,-74.25574356944257
-343.13671301526415,-74.6806413357378
-346.021264178055,-74.74013137249067
-331.5839446970741,-72.00655837193443
-334.13968408193864,-72.6879647429974
-327.8483031084686,-69.99084286966226
-350.76491940816317,-76.21274375070507
-328.6662029148286,-70.45477462060846
-331.82456900547135,-72.40197457655078
-342.65772806870297,-73.32621443941757
-341.68555651634017,-74.86984435154879
-336.8218573780497,-73.4404191566864
-205.44689623118876,-50.086345097477505
-331.2574178855107,-79.94525870013231
-282.37694865494933,-69.74036231755677
-333.511571958599,-78.9411111155667
-328.12599565208035,-80.14726004898732
-330.4729489959368,-79.34917813555681
-322.93090781184884,-76.01725159164228
-331.3847087715616,-78.61995816950242
-346.334326348893,-77.28900547961423
-353.0266408407947,-78.2288929557968
-345.5023071517553,-77.10369032783854
-277.44813522486214,-62.8695272330112
-358.2261688933268,-78.69199905954203
-349.44865732316356,-77.4191167792945
-217.80361926680044,-48.045526468088866
-349.891846266517,-76.49497338988118
-348.2618824689091,-77.07296376521144
-351.3796804008192,-77.43598741308642
-332.82898097735153,-71.22195167557823
-332.4419995084785,-70.94555089227745
-297.80206158167334,-63.38880733998254
-352.2484578532748,-74.0742532039624
-311.441437603783,-66.49052370956203
-311.6937534657413,-67.77316602515575
-327.7350007770176,-71.2713900530473
-346.1032902858858,-73.63697033362385
-342.316106576768,-74.17336085903752
-351.05451287109844,-72.31841102991275
-338.5944284984023,-72.36878484503393
-335.3731490248373,-70.19859791151892
-319.8411880098689,-66.2909829791804
-304.7336217795298,-61.9338256422854
-342.8572990827009,-75.87816492008983
-333.4951190744696,-73.35272114943156
-321.03718822601115,-70.38826580701692
-319.24406432838356,-70.36748590532474
-322.2884485932533,-70.33021597494081
-328.4706536891856,-71.95322806142808
-317.83915912722097,-69.9320961680243
-341.44476443818434,-74.13459691965646
-336.3620796606864,-74.5462276408312
-324.5985279129351,-71.92302376265455
-315.1010024489974,-69.92835978503344
-330.8959570771899,-73.43306634068098
-324.5035209860764,-73.86130396694168
-338.5670432216245,-76.49421317704878
