cost,publisher,university,year
0.0,Institute of Physics Publishing,University of Wolverhampton,2011
0.0,Institute of Physics Publishing,University of Worcester,2011
0.0,Institute of Physics Publishing,Writtle College,2011
37450.0,Institute of Physics Publishing,University of York,2011
0.0,Institute of Physics Publishing,York St John University,2011
,Institute of Physics Publishing,,2011
20745.0,Institute of Physics Publishing,University of Aberdeen,2012
0.0,Institute of Physics Publishing,Abertay University,2012
24960.0,Institute of Physics Publishing,Aberystwyth University,2012
309.0,Institute of Physics Publishing,Anglia Ruskin University,2012
0.0,Institute of Physics Publishing,Arts University Bournemouth,2012
0.0,Institute of Physics Publishing,Aston University,2012
5622.0,Institute of Physics Publishing,Bangor University,2012
18889.0,Institute of Physics Publishing,University of Bath,2012
349.0,Institute of Physics Publishing,Bath Spa University,2012
0.0,Institute of Physics Publishing,University of Bedfordshire,2012
0.0,Institute of Physics Publishing,"Birkbeck, University of London",2012
39114.0,Institute of Physics Publishing,University of Birmingham,2012
0.0,Institute of Physics Publishing,Birmingham City University,2012
0.0,Institute of Physics Publishing,Bishop Grosseteste University,2012
311.0,Institute of Physics Publishing,University of Bolton,2012
1618.0,Institute of Physics Publishing,Bournemouth University,2012
0.0,Institute of Physics Publishing,University of Bradford,2012
0.0,Institute of Physics Publishing,University of Brighton,2012
62749.0,Institute of Physics Publishing,University of Bristol,2012
7581.0,Institute of Physics Publishing,Brunel University,2012
,Institute of Physics Publishing,Buckinghamshire New University,2012
47077.0,Institute of Physics Publishing,University of Cambridge,2012
318.0,Institute of Physics Publishing,Canterbury Christ Church University,2012
11141.0,Institute of Physics Publishing,Cardiff University,2012
0.0,Institute of Physics Publishing,Cardiff Metropolitan University,2012
11781.0,Institute of Physics Publishing,University of Central Lancashire,2012
,Institute of Physics Publishing,Central School of Speech and Drama,2012
0.0,Institute of Physics Publishing,University of Chester,2012
0.0,Institute of Physics Publishing,University of Chichester,2012
7775.0,Institute of Physics Publishing,City University London,2012
0.0,Institute of Physics Publishing,Courtauld Institute of Art,2012
0.0,Institute of Physics Publishing,Coventry University,2012
8722.0,Institute of Physics Publishing,Cranfield University,2012
311.0,Institute of Physics Publishing,University of Cumbria,2012
1559.0,Institute of Physics Publishing,De Montfort University,2012
0.0,Institute of Physics Publishing,University of Derby,2012
